"","corpus_name","tokens"
"1","Bliss",6
"2","Braunwald",22
"3","Brown",367
"4","Gelman",26
"5","Gleason",76
"6","Gopnik",12
"7","Hall",1147
"8","HSLLD",192
"9","Kuczaj",121
"10","MacWhinney",7
"11","PetersonMcCabe",28
"12","Providence",1
"13","Sachs",23
"14","VanKleeck",7
"15","Warren",4
"16","Weist",186
