"","Group.1","x"
"1","adopt",0
"2","attack",6
"3","bite",119
"4","bring",367
"5","bump",36
"6","buy",366
"7","celebrate",5
"8","check",41
"9","choose",21
"10","cover",39
"11","drop",104
"12","give",859
"13","glue",23
"14","grab",42
"15","greet",0
"16","hang",70
"17","hit",219
"18","hog",0
"19","hold",338
"20","insert",0
"21","invite",15
"22","keep",509
"23","kick",128
"24","knock",126
"25","knot",1
"26","lick",35
"27","pet",11
"28","pull",163
"29","punch",73
"30","push",193
"31","sell",16
"32","slam",1
"33","smash",17
"34","stick",217
"35","stroke",0
"36","take",1723
"37","tap",4
"38","teach",51
"39","tickle",42
"40","tie",108
