"","stem","tokens","num_chi"
"1","attack",6,3
"2","bite",119,33
"3","bring",367,55
"4","bump",36,17
"5","buy",366,51
"6","celebrate",5,4
"7","check",41,21
"8","choose",21,9
"9","cover",39,17
"10","discover",2,1
"11","drop",104,36
"12","flip",13,8
"13","give",859,56
"14","glue",23,8
"15","grab",42,19
"16","hang",70,27
"17","hit",219,39
"18","hold",338,55
"19","invite",15,7
"20","jam",1,1
"21","keep",509,55
"22","kick",128,29
"23","knock",126,37
"24","knot",1,1
"25","lay",63,21
"26","lick",35,19
"27","pet",11,8
"28","pinch",8,5
"29","place",3,3
"30","poke",31,12
"31","press",60,21
"32","pull",163,45
"33","punch",73,21
"34","push",194,38
"35","put",2662,69
"36","sell",16,10
"37","set",99,34
"38","slam",1,1
"39","smash",17,11
"40","spin",16,10
"41","stick",217,43
"42","take",1723,65
"43","tap",4,3
"44","teach",51,19
"45","tickle",42,15
"46","tie",108,33
"47","turn",440,55
"48","wrap",39,15
