"","stem","tokens","num_chi"
"1","attack",6,3
"2","bite",119,33
"3","bring",367,55
"4","bump",36,17
"5","buy",366,51
"6","celebrate",5,4
"7","check",41,21
"8","choose",21,9
"9","cover",39,17
"10","drop",104,36
"11","give",859,56
"12","glue",23,8
"13","grab",42,19
"14","hang",70,27
"15","hit",219,39
"16","hold",338,55
"17","invite",15,7
"18","keep",509,55
"19","kick",128,29
"20","knock",126,37
"21","knot",1,1
"22","lick",35,19
"23","pet",11,8
"24","pull",163,45
"25","punch",73,21
"26","push",193,38
"27","sell",16,10
"28","slam",1,1
"29","smash",17,11
"30","stick",217,43
"31","take",1723,65
"32","tap",4,3
"33","teach",51,19
"34","tickle",42,15
"35","tie",108,33
