"","target_child_id","tokens","corpus_name"
"1",1754,28,"PetersonMcCabe"
"2",1999,74,"Hall"
"3",2006,26,"Hall"
"4",2007,134,"Hall"
"5",2020,13,"Hall"
"6",2040,39,"Hall"
"7",2053,43,"Hall"
"8",2065,37,"Hall"
"9",2077,14,"Hall"
"10",2091,24,"Hall"
"11",2108,18,"Hall"
"12",2112,15,"Hall"
"13",2127,14,"Hall"
"14",2130,11,"Hall"
"15",2141,25,"Hall"
"16",2172,30,"Hall"
"17",2187,23,"Hall"
"18",2202,73,"Hall"
"19",2220,30,"Hall"
"20",2234,29,"Hall"
"21",2249,15,"Hall"
"22",2264,16,"Hall"
"23",2279,30,"Hall"
"24",2291,54,"Hall"
"25",2302,24,"Hall"
"26",2315,41,"Hall"
"27",2316,51,"Hall"
"28",2317,21,"Hall"
"29",2319,38,"Hall"
"30",2328,19,"Hall"
"31",2377,30,"Hall"
"32",2399,37,"Hall"
"33",2400,29,"Hall"
"34",2402,45,"Hall"
"35",2405,25,"Hall"
"36",2481,3,"VanKleeck"
"37",2489,3,"VanKleeck"
"38",2512,1,"VanKleeck"
"39",2529,12,"Gopnik"
"40",2543,121,"Kuczaj"
"41",2564,4,"Gleason"
"42",2568,2,"Gleason"
"43",2575,8,"Gleason"
"44",2582,3,"Gleason"
"45",2591,27,"Gleason"
"46",2597,4,"Gleason"
"47",2622,7,"Gleason"
"48",2632,14,"Gleason"
"49",2643,7,"Gleason"
"50",2725,190,"HSLLD"
"51",2787,1,"HSLLD"
"52",2865,1,"HSLLD"
"53",3057,26,"Gelman"
"54",3330,207,"Brown"
"55",3351,160,"Brown"
"56",3395,7,"MacWhinney"
"57",3459,2,"Warren"
"58",3468,2,"Warren"
"59",3906,22,"Braunwald"
"60",3940,23,"Sachs"
"61",3978,24,"Weist"
"62",3985,28,"Weist"
"63",4001,84,"Weist"
"64",4011,45,"Weist"
"65",4019,5,"Weist"
"66",5503,2,"Bliss"
"67",5516,4,"Bliss"
"68",22728,1,"Providence"
