"","Group.1","x"
"1","adopt",0
"2","attack",6
"3","bite",119
"4","bump",36
"5","buy",366
"6","celebrate",5
"7","check",41
"8","choose",21
"9","cover",39
"10","drop",104
"11","give",859
"12","glue",23
"13","greet",0
"14","hang",70
"15","hold",338
"16","insert",0
"17","invite",15
"18","kick",128
"19","knot",1
"20","lick",35
"21","pet",11
"22","pull",163
"23","punch",73
"24","push",193
"25","sell",16
"26","stick",217
"27","stroke",0
"28","tap",4
"29","teach",51
"30","tickle",42
"31","tie",108
