"","Group.1","x"
"1","adopt",0
"2","attack",6
"3","bite",119
"4","bring",367
"5","bump",36
"6","buy",366
"7","celebrate",5
"8","check",41
"9","choose",21
"10","cover",39
"11","discover",2
"12","discriminate",0
"13","drop",104
"14","flip",13
"15","give",859
"16","glue",23
"17","grab",42
"18","greet",0
"19","hang",70
"20","hit",219
"21","hog",0
"22","hold",338
"23","insert",0
"24","invite",15
"25","jam",1
"26","keep",509
"27","kick",128
"28","knock",126
"29","knot",1
"30","lay",63
"31","lick",35
"32","pet",11
"33","pinch",8
"34","place",3
"35","poke",31
"36","press",60
"37","pull",163
"38","punch",73
"39","push",194
"40","put",2662
"41","sell",16
"42","set",99
"43","slam",1
"44","smash",17
"45","spin",16
"46","stick",217
"47","stroke",0
"48","take",1723
"49","tap",4
"50","teach",51
"51","tickle",42
"52","tie",108
"53","turn",440
"54","wrap",39
