"","stem","tokens","num_chi"
"1","argue",1,1
"2","attach",12,6
"3","bump",18,11
"4","connect",1,1
"5","fight",50,22
"6","hug",3,2
"7","join",6,3
"8","kiss",26,12
"9","marry",6,4
"10","match",7,5
"11","meet",23,15
"12","separate",4,4
"13","split",3,2
"14","touch",125,31
"15","trade",3,3
