"","stem","tokens","num_chi"
"1","argue",2,2
"2","attach",17,10
"3","bump",67,25
"4","connect",14,5
"5","fight",87,33
"6","hug",16,5
"7","join",10,6
"8","kiss",64,29
"9","marry",19,9
"10","match",67,14
"11","meet",61,32
"12","separate",6,5
"13","split",5,4
"14","touch",209,50
"15","trade",6,5
