"","stem","tokens","num_chi"
"1","attack",1,1
"2","bite",132,23
"3","bump",49,14
"4","buy",236,33
"5","celebrate",1,1
"6","check",36,14
"7","choose",43,10
"8","cover",31,13
"9","drop",77,21
"10","greet",1,1
"11","hold",365,50
"12","invite",10,6
"13","kick",57,17
"14","lick",46,11
"15","pet",22,10
"16","pull",182,35
"17","punch",57,7
"18","push",201,42
"19","sell",13,7
"20","teach",31,17
"21","tickle",21,11
"22","tie",103,16
