"","stem","tokens","num_chi"
"1","attach",5,4
"2","connect",13,4
"3","cooperate",7,2
"4","crash",40,15
"5","fight",37,11
"6","hug",13,3
"7","join",4,3
"8","kiss",38,17
"9","marry",13,5
"10","match",60,9
"11","meet",38,17
"12","rhyme",4,1
"13","separate",2,1
"14","share",40,13
"15","touch",84,19
"16","trade",3,2
