"","stem","tokens","num_chi"
"1","attach",5,4
"2","connect",13,4
"3","fight",37,11
"4","hug",13,3
"5","join",4,3
"6","kiss",38,17
"7","marry",13,5
"8","match",60,9
"9","meet",38,17
"10","separate",2,1
"11","touch",84,19
"12","trade",3,2
