"","corpus_name","tokens"
"1","Bliss",1
"2","Bloom",2
"3","Bohannon",4
"4","Braunwald",26
"5","Brown",61
"6","Clark",10
"7","Davis",2
"8","Demetras1",10
"9","Gelman",1
"10","Gleason",6
"11","Gopnik",1
"12","HSLLD",13
"13","Kuczaj",50
"14","MacWhinney",16
"15","Morisset",1
"16","Providence",113
"17","Sachs",2
"18","Snow",12
"19","Suppes",23
"20","VanHouten",2
"21","VanKleeck",5
"22","Weist",40
