"","Group.1","x"
"1","agree",0
"2","attach",5
"3","connect",13
"4","cooperate",7
"5","crash",40
"6","fight",37
"7","hug",13
"8","join",4
"9","kiss",38
"10","marry",13
"11","match",60
"12","meet",38
"13","rhyme",4
"14","separate",2
"15","share",40
"16","touch",84
"17","trade",3
