"","stem","count"
"1","argue",1
"2","attach",5
"3","bump",49
"4","connect",13
"5","cooperate",7
"6","crash",40
"7","fight",37
"8","hug",13
"9","join",4
"10","kiss",38
"11","marry",13
"12","match",60
"13","meet",38
"14","rhyme",4
"15","separate",2
"16","share",40
"17","split",2
"18","touch",84
"19","trade",3
