"","corpus_name","tokens"
"1","Bliss",14
"2","Bloom",10
"3","Bohannon",34
"4","Braunwald",122
"5","Brown",418
"6","Clark",68
"7","Davis",3
"8","Demetras1",28
"9","Gelman",9
"10","Gleason",159
"11","Gopnik",10
"12","Hall",1273
"13","HSLLD",113
"14","Kuczaj",231
"15","MacWhinney",48
"16","Morisset",9
"17","PetersonMcCabe",37
"18","Providence",233
"19","Sachs",21
"20","Snow",84
"21","Suppes",111
"22","VanHouten",81
"23","VanKleeck",39
"24","Warren",7
"25","Weist",332
