"","stem","tokens","num_chi"
"1","argue",1,1
"2","attach",5,4
"3","bump",49,14
"4","connect",13,4
"5","fight",37,11
"6","hug",13,3
"7","join",4,3
"8","kiss",38,17
"9","marry",13,5
"10","match",60,9
"11","meet",38,17
"12","separate",2,1
"13","split",2,2
"14","touch",84,19
"15","trade",3,2
