"","corpus_name","tokens"
"1","Bliss",2
"2","Bloom",1
"3","Bohannon",3
"4","Braunwald",22
"5","Brown",124
"6","Clark",10
"7","Davis",2
"8","Demetras1",5
"9","Gelman",14
"10","Gleason",10
"11","Gopnik",6
"12","Hall",243
"13","HSLLD",48
"14","Kuczaj",47
"15","MacWhinney",15
"16","PetersonMcCabe",6
"17","Providence",101
"18","Sachs",4
"19","Snow",6
"20","Suppes",20
"21","VanHouten",1
"22","VanKleeck",3
"23","Warren",3
"24","Weist",69
