"","stem","tokens","num_chi"
"1","agree",4,4
"2","attach",24,14
"3","connect",21,8
"4","cooperate",7,2
"5","crash",70,28
"6","fight",114,38
"7","hug",24,10
"8","join",11,7
"9","kiss",82,36
"10","marry",49,16
"11","match",87,19
"12","meet",75,40
"13","rhyme",20,4
"14","separate",7,6
"15","share",70,27
"16","touch",263,60
"17","trade",8,6
