"","stem","tokens","num_chi"
"1","attack",7,4
"2","bite",251,56
"3","bump",85,31
"4","buy",602,84
"5","celebrate",6,5
"6","check",77,35
"7","choose",64,19
"8","cover",70,30
"9","drop",181,57
"10","give",1603,105
"11","glue",45,13
"12","greet",1,1
"13","hang",168,49
"14","hold",703,105
"15","invite",25,13
"16","kick",185,46
"17","knot",1,1
"18","lick",81,30
"19","pet",33,18
"20","pull",345,80
"21","punch",130,28
"22","push",394,80
"23","sell",29,17
"24","stick",419,72
"25","tap",4,3
"26","teach",82,36
"27","tickle",63,26
"28","tie",211,49
