"","stem","tokens","num_chi"
"1","attack",7,4
"2","bite",251,56
"3","bump",85,31
"4","buy",602,84
"5","celebrate",6,5
"6","check",77,35
"7","choose",64,19
"8","cover",70,30
"9","drop",181,57
"10","glue",45,13
"11","greet",1,1
"12","hang",168,49
"13","hold",703,105
"14","invite",25,13
"15","kick",185,46
"16","knot",1,1
"17","lick",81,30
"18","pet",33,18
"19","pull",345,80
"20","punch",130,28
"21","push",394,80
"22","sell",29,17
"23","stick",419,72
"24","tap",4,3
"25","teach",82,36
"26","tickle",63,26
"27","tie",211,49
