"","corpus_name","tokens"
"1","Bliss",13
"2","Bloom",11
"3","Bohannon",34
"4","Braunwald",133
"5","Brown",815
"6","Clark",62
"7","Davis",1
"8","Demetras1",17
"9","Gelman",36
"10","Gleason",157
"11","Gopnik",19
"12","Hall",1147
"13","HSLLD",305
"14","Kuczaj",387
"15","MacWhinney",42
"16","Morisset",9
"17","PetersonMcCabe",28
"18","Providence",155
"19","Sachs",49
"20","Snow",76
"21","Suppes",116
"22","VanHouten",82
"23","VanKleeck",51
"24","Warren",4
"25","Weist",513
