"","corpus_name","num_chi"
"1","Bliss",3
"2","Bloom",1
"3","Bohannon",3
"4","Braunwald",2
"5","Brown",4
"6","Clark",1
"7","Davis",1
"8","Demetras1",1
"9","Gelman",2
"10","Gleason",19
"11","Gopnik",2
"12","Hall",34
"13","HSLLD",8
"14","Kuczaj",2
"15","MacWhinney",2
"16","Morisset",12
"17","PetersonMcCabe",1
"18","Providence",6
"19","Sachs",2
"20","Snow",1
"21","Suppes",1
"22","VanHouten",25
"23","VanKleeck",20
"24","Warren",4
"25","Weist",10
