"","target_child_id","tokens","corpus_name"
"1",1741,67,"Clark"
"2",2479,4,"VanKleeck"
"3",2483,5,"VanKleeck"
"4",2485,4,"VanKleeck"
"5",2486,2,"VanKleeck"
"6",2491,4,"VanKleeck"
"7",2495,4,"VanKleeck"
"8",2497,5,"VanKleeck"
"9",2498,11,"VanKleeck"
"10",2503,2,"VanKleeck"
"11",2505,2,"VanKleeck"
"12",2507,3,"VanKleeck"
"13",2508,8,"VanKleeck"
"14",2511,4,"VanKleeck"
"15",2515,5,"VanKleeck"
"16",2517,3,"VanKleeck"
"17",2519,195,"Suppes"
"18",2529,9,"Gopnik"
"19",2543,291,"Kuczaj"
"20",2572,11,"Gleason"
"21",2585,23,"Gleason"
"22",2586,16,"Gleason"
"23",2601,10,"Gleason"
"24",2605,9,"Gleason"
"25",2606,5,"Gleason"
"26",2636,6,"Gleason"
"27",2640,15,"Gleason"
"28",2658,33,"Gleason"
"29",2725,194,"HSLLD"
"30",3057,10,"Gelman"
"31",3144,18,"Bloom"
"32",3330,424,"Brown"
"33",3351,187,"Brown"
"34",3395,51,"MacWhinney"
"35",3507,10,"VanHouten"
"36",3512,4,"VanHouten"
"37",3517,5,"VanHouten"
"38",3519,6,"VanHouten"
"39",3521,8,"VanHouten"
"40",3524,4,"VanHouten"
"41",3532,1,"VanHouten"
"42",3534,4,"VanHouten"
"43",3537,8,"VanHouten"
"44",3538,3,"VanHouten"
"45",3543,1,"VanHouten"
"46",3546,4,"VanHouten"
"47",3550,2,"VanHouten"
"48",3553,2,"VanHouten"
"49",3555,1,"VanHouten"
"50",3560,4,"VanHouten"
"51",3562,3,"VanHouten"
"52",3564,3,"VanHouten"
"53",3565,3,"VanHouten"
"54",3567,9,"VanHouten"
"55",3906,157,"Braunwald"
"56",3940,34,"Sachs"
"57",3973,6,"Weist"
"58",3978,102,"Weist"
"59",3985,68,"Weist"
"60",4001,134,"Weist"
"61",4011,132,"Weist"
"62",4031,9,"Morisset"
"63",4070,2,"Morisset"
"64",4208,1,"Morisset"
"65",4214,1,"Morisset"
"66",5510,7,"Bliss"
"67",5525,33,"Demetras1"
"68",5533,12,"Bohannon"
"69",5547,36,"Bohannon"
"70",5551,3,"Bohannon"
"71",5564,84,"Snow"
"72",22695,6,"Davis"
"73",22704,54,"Providence"
"74",22728,60,"Providence"
"75",22743,48,"Providence"
"76",22755,17,"Providence"
"77",22764,50,"Providence"
