"","Group.1","x"
"1","adopt",0
"2","attack",1
"3","bite",132
"4","bump",49
"5","buy",236
"6","celebrate",1
"7","check",36
"8","choose",43
"9","cover",31
"10","drop",77
"11","give",744
"12","glue",22
"13","greet",1
"14","hang",98
"15","hold",365
"16","insert",0
"17","invite",10
"18","kick",57
"19","knot",0
"20","lick",46
"21","pet",22
"22","pull",182
"23","punch",57
"24","push",201
"25","sell",13
"26","stick",202
"27","stroke",0
"28","tap",0
"29","teach",31
"30","tickle",21
"31","tie",103
