"","Group.1","x"
"1","adopt",0
"2","attack",1
"3","bite",132
"4","bring",323
"5","bump",49
"6","buy",236
"7","celebrate",1
"8","check",36
"9","choose",43
"10","cover",31
"11","discover",0
"12","discriminate",0
"13","drop",77
"14","flip",26
"15","give",744
"16","glue",22
"17","grab",41
"18","greet",1
"19","hang",98
"20","hit",197
"21","hog",0
"22","hold",365
"23","insert",0
"24","invite",10
"25","jam",0
"26","keep",265
"27","kick",57
"28","knock",150
"29","knot",0
"30","lay",60
"31","lick",46
"32","pet",22
"33","pinch",10
"34","place",0
"35","poke",16
"36","press",25
"37","pull",182
"38","punch",57
"39","push",201
"40","put",3430
"41","sell",13
"42","set",83
"43","slam",4
"44","smash",16
"45","spin",29
"46","stick",202
"47","stroke",0
"48","take",1561
"49","tap",0
"50","teach",31
"51","tickle",21
"52","tie",103
"53","turn",436
"54","wrap",34
