"","Group.1","x"
"1","adopt",0
"2","attack",1
"3","bite",132
"4","bring",323
"5","bump",49
"6","buy",236
"7","celebrate",1
"8","check",36
"9","choose",43
"10","cover",31
"11","drop",77
"12","give",744
"13","glue",22
"14","grab",41
"15","greet",1
"16","hang",98
"17","hit",197
"18","hog",0
"19","hold",365
"20","insert",0
"21","invite",10
"22","keep",265
"23","kick",57
"24","knock",150
"25","knot",0
"26","lick",46
"27","pet",22
"28","pull",182
"29","punch",57
"30","push",201
"31","sell",13
"32","slam",4
"33","smash",16
"34","stick",202
"35","stroke",0
"36","take",1561
"37","tap",0
"38","teach",31
"39","tickle",21
"40","tie",103
