"","stem","tokens","num_chi"
"1","attack",1,1
"2","bite",132,23
"3","bring",323,45
"4","bump",49,14
"5","buy",236,33
"6","celebrate",1,1
"7","check",36,14
"8","choose",43,10
"9","cover",31,13
"10","ding",42,12
"11","drop",77,21
"12","flip",26,10
"13","give",744,49
"14","glue",22,5
"15","grab",41,17
"16","greet",1,1
"17","hang",98,22
"18","hit",197,19
"19","hold",365,50
"20","invite",10,6
"21","keep",265,28
"22","kick",57,17
"23","knock",150,28
"24","know",2793,82
"25","lay",60,23
"26","lick",46,11
"27","pet",22,10
"28","pinch",10,7
"29","poke",16,9
"30","press",25,12
"31","pull",182,35
"32","punch",57,7
"33","push",201,42
"34","put",3430,87
"35","ring",33,11
"36","sell",13,7
"37","set",83,26
"38","slam",4,3
"39","smash",16,7
"40","spin",29,14
"41","stick",202,29
"42","take",1561,72
"43","teach",31,17
"44","tickle",21,11
"45","tie",103,16
"46","turn",436,40
"47","understand",9,5
"48","wrap",34,13
