"","corpus_name","tokens"
"1","Bliss",7
"2","Bloom",11
"3","Bohannon",34
"4","Braunwald",111
"5","Brown",448
"6","Clark",62
"7","Davis",1
"8","Demetras1",17
"9","Gelman",10
"10","Gleason",81
"11","Gopnik",7
"12","HSLLD",113
"13","Kuczaj",266
"14","MacWhinney",35
"15","Morisset",9
"16","Providence",154
"17","Sachs",26
"18","Snow",76
"19","Suppes",116
"20","VanHouten",82
"21","VanKleeck",44
"22","Weist",327
