"","corpus_name","tokens"
"1","Bliss",25
"2","Bloom",129
"3","Bohannon",195
"4","Braunwald",371
"5","Brown",2307
"6","Clark",294
"7","Davis",16
"8","Demetras1",179
"9","Gelman",24
"10","Gleason",426
"11","Gopnik",32
"12","HSLLD",559
"13","Kuczaj",1005
"14","MacWhinney",169
"15","Morisset",53
"16","Providence",875
"17","Sachs",92
"18","Snow",234
"19","Suppes",816
"20","VanHouten",297
"21","VanKleeck",379
"22","Warren",5
"23","Weist",1005
