"","stem","tokens","num_chi"
"1","attack",1,1
"2","bite",132,23
"3","bring",323,45
"4","bump",49,14
"5","buy",236,33
"6","celebrate",1,1
"7","check",36,14
"8","choose",43,10
"9","cover",31,13
"10","drop",77,21
"11","flip",26,10
"12","give",744,49
"13","glue",22,5
"14","grab",41,17
"15","greet",1,1
"16","hang",98,22
"17","hit",197,19
"18","hold",365,50
"19","invite",10,6
"20","keep",265,28
"21","kick",57,17
"22","knock",150,28
"23","lay",60,23
"24","lick",46,11
"25","pet",22,10
"26","pinch",10,7
"27","poke",16,9
"28","press",25,12
"29","pull",182,35
"30","punch",57,7
"31","push",201,42
"32","put",3430,87
"33","sell",13,7
"34","set",83,26
"35","slam",4,3
"36","smash",16,7
"37","spin",29,14
"38","stick",202,29
"39","take",1561,72
"40","teach",31,17
"41","tickle",21,11
"42","tie",103,16
"43","turn",436,40
"44","wrap",34,13
