"","stem","tokens","num_chi"
"1","attack",1,1
"2","bite",132,23
"3","bump",49,14
"4","buy",236,33
"5","celebrate",1,1
"6","check",36,14
"7","choose",43,10
"8","cover",31,13
"9","drop",77,21
"10","give",744,49
"11","glue",22,5
"12","greet",1,1
"13","hang",98,22
"14","hold",365,50
"15","invite",10,6
"16","kick",57,17
"17","lick",46,11
"18","pet",22,10
"19","pull",182,35
"20","punch",57,7
"21","push",201,42
"22","sell",13,7
"23","stick",202,29
"24","teach",31,17
"25","tickle",21,11
"26","tie",103,16
