"","target_child_id","tokens","corpus_name"
"1",1741,294,"Clark"
"2",2479,17,"VanKleeck"
"3",2483,36,"VanKleeck"
"4",2485,24,"VanKleeck"
"5",2486,2,"VanKleeck"
"6",2491,19,"VanKleeck"
"7",2493,11,"VanKleeck"
"8",2495,7,"VanKleeck"
"9",2497,41,"VanKleeck"
"10",2498,53,"VanKleeck"
"11",2503,31,"VanKleeck"
"12",2505,24,"VanKleeck"
"13",2507,13,"VanKleeck"
"14",2508,19,"VanKleeck"
"15",2511,26,"VanKleeck"
"16",2515,36,"VanKleeck"
"17",2517,20,"VanKleeck"
"18",2519,816,"Suppes"
"19",2529,32,"Gopnik"
"20",2543,1005,"Kuczaj"
"21",2572,25,"Gleason"
"22",2585,87,"Gleason"
"23",2586,37,"Gleason"
"24",2601,47,"Gleason"
"25",2605,28,"Gleason"
"26",2606,32,"Gleason"
"27",2636,15,"Gleason"
"28",2640,64,"Gleason"
"29",2643,13,"Gleason"
"30",2658,78,"Gleason"
"31",2725,557,"HSLLD"
"32",2856,2,"HSLLD"
"33",3057,24,"Gelman"
"34",3144,129,"Bloom"
"35",3330,1796,"Brown"
"36",3351,511,"Brown"
"37",3395,169,"MacWhinney"
"38",3460,5,"Warren"
"39",3507,12,"VanHouten"
"40",3509,12,"VanHouten"
"41",3512,10,"VanHouten"
"42",3514,4,"VanHouten"
"43",3517,23,"VanHouten"
"44",3519,16,"VanHouten"
"45",3521,21,"VanHouten"
"46",3524,8,"VanHouten"
"47",3528,10,"VanHouten"
"48",3532,11,"VanHouten"
"49",3534,13,"VanHouten"
"50",3536,2,"VanHouten"
"51",3537,23,"VanHouten"
"52",3538,20,"VanHouten"
"53",3543,4,"VanHouten"
"54",3546,15,"VanHouten"
"55",3548,8,"VanHouten"
"56",3550,5,"VanHouten"
"57",3553,11,"VanHouten"
"58",3555,8,"VanHouten"
"59",3560,14,"VanHouten"
"60",3562,18,"VanHouten"
"61",3564,8,"VanHouten"
"62",3565,6,"VanHouten"
"63",3567,15,"VanHouten"
"64",3906,371,"Braunwald"
"65",3940,92,"Sachs"
"66",3973,17,"Weist"
"67",3978,222,"Weist"
"68",3985,145,"Weist"
"69",4001,333,"Weist"
"70",4011,288,"Weist"
"71",4031,36,"Morisset"
"72",4070,4,"Morisset"
"73",4197,1,"Morisset"
"74",4208,2,"Morisset"
"75",4210,2,"Morisset"
"76",4214,1,"Morisset"
"77",4216,1,"Morisset"
"78",4218,1,"Morisset"
"79",4220,2,"Morisset"
"80",4224,1,"Morisset"
"81",4245,1,"Morisset"
"82",4267,1,"Morisset"
"83",5510,25,"Bliss"
"84",5525,179,"Demetras1"
"85",5533,57,"Bohannon"
"86",5547,115,"Bohannon"
"87",5551,23,"Bohannon"
"88",5564,234,"Snow"
"89",22695,16,"Davis"
"90",22704,176,"Providence"
"91",22728,236,"Providence"
"92",22743,211,"Providence"
"93",22755,87,"Providence"
"94",22764,165,"Providence"
