"","corpus_name","tokens"
"1","Bliss",5
"2","Braunwald",17
"3","Brown",293
"4","Gelman",23
"5","Gleason",71
"6","Gopnik",12
"7","Hall",1014
"8","HSLLD",160
"9","Kuczaj",100
"10","MacWhinney",7
"11","PetersonMcCabe",26
"12","Providence",1
"13","Sachs",21
"14","VanKleeck",2
"15","Warren",4
"16","Weist",159
