"","stem","tokens","num_chi"
"1","attack",7,4
"2","bite",251,56
"3","bump",85,31
"4","buy",602,84
"5","celebrate",6,5
"6","check",77,35
"7","choose",64,19
"8","cover",70,30
"9","drop",181,57
"10","greet",1,1
"11","hold",703,105
"12","invite",25,13
"13","kick",185,46
"14","knot",1,1
"15","lick",81,30
"16","pet",33,18
"17","pull",345,80
"18","punch",130,28
"19","push",394,80
"20","sell",29,17
"21","tap",4,3
"22","teach",82,36
"23","tickle",63,26
"24","tie",211,49
