"","stem","tokens","num_chi"
"1","attach",19,10
"2","connect",8,4
"3","fight",77,27
"4","hug",11,7
"5","join",7,4
"6","kiss",44,19
"7","marry",36,11
"8","match",27,10
"9","meet",37,23
"10","separate",5,5
"11","touch",179,41
"12","trade",5,4
