"","stem","tokens","num_chi"
"1","attach",24,14
"2","connect",21,8
"3","fight",114,38
"4","hug",24,10
"5","join",11,7
"6","kiss",82,36
"7","marry",49,16
"8","match",87,19
"9","meet",75,40
"10","separate",7,6
"11","touch",263,60
"12","trade",8,6
