"","stem","tokens","num_chi"
"1","agree",4,4
"2","attach",19,10
"3","connect",8,4
"4","crash",30,13
"5","fight",77,27
"6","hug",11,7
"7","join",7,4
"8","kiss",44,19
"9","marry",36,11
"10","match",27,10
"11","meet",37,23
"12","rhyme",16,3
"13","separate",5,5
"14","share",30,14
"15","touch",179,41
"16","trade",5,4
