"","Group.1","x"
"1","agree",4
"2","attach",19
"3","connect",8
"4","cooperate",0
"5","crash",30
"6","fight",77
"7","hug",11
"8","join",7
"9","kiss",44
"10","marry",36
"11","match",27
"12","meet",37
"13","rhyme",16
"14","separate",5
"15","share",30
"16","touch",179
"17","trade",5
