"","corpus_name","num_chi"
"1","Bliss",1
"2","Braunwald",1
"3","Brown",2
"4","Gelman",1
"5","Gleason",3
"6","Gopnik",1
"7","Hall",33
"8","HSLLD",1
"9","Kuczaj",1
"10","MacWhinney",1
"11","PetersonMcCabe",1
"12","Providence",1
"13","Sachs",1
"14","Warren",1
"15","Weist",5
