"","corpus_name","tokens"
"1","Bliss",1
"2","Braunwald",5
"3","Brown",78
"4","Gelman",13
"5","Gleason",6
"6","Gopnik",5
"7","Hall",243
"8","HSLLD",37
"9","Kuczaj",20
"10","MacWhinney",1
"11","PetersonMcCabe",6
"12","Providence",1
"13","Sachs",2
"14","Warren",3
"15","Weist",34
