"","corpus_name","tokens"
"1","Bliss",1
"2","Braunwald",6
"3","Brown",87
"4","Gelman",13
"5","Gleason",7
"6","Gopnik",6
"7","Hall",282
"8","HSLLD",48
"9","Kuczaj",24
"10","MacWhinney",2
"11","PetersonMcCabe",14
"12","Providence",1
"13","Sachs",2
"14","VanKleeck",3
"15","Warren",3
"16","Weist",36
